Titular,Medio,Fecha,Hora
Evacuados dos petroleros tras ataque en el mar de Omán,Colombiano,13/06/2019," 06:27 AM 
                "
Aproveche la “visita” que le hace la prima en junio,Colombiano,13/06/2019," 12:01 AM 
                "
Investigan red que exportaría sicarios desde Medellín ,Colombiano,13/06/2019," 12:01 AM 
                "
El flagelo del trabajo infantil sigue vivo,Colombiano,13/06/2019," 12:01 AM 
                "
“Clemente” aceptó cargos y será enviado a Palmira,Colombiano,13/06/2019," 12:01 AM 
                "
“No nos vamos del país al cerrar la fábrica”: Philip Morris,Colombiano,13/06/2019," 06:11 AM 
                "
El drama de quienes viven secuestrados en su región,Colombiano,13/06/2019," 12:08 AM 
                "
Expertos internacionales examinan Hidroituango,Colombiano,13/06/2019," 12:01 AM 
                "
Una legislatura a paso de tortuga,Colombiano,13/06/2019," 12:01 AM 
                "
Se fue un pionero de la banca colombiana ,Colombiano,13/06/2019," 12:01 AM 
                "
El gesto de Ray Vanegas ¿condenó al Pasto?,Colombiano,13/06/2019," 06:55 AM 
                 "
Junior bordó una nueva estrella en su escudo,Colombiano,13/06/2019," 12:01 AM 
                 "
Dos colegios están de fiesta en Antioquia,Colombiano,13/06/2019," 12:01 AM 
                 "
“El DIM debe dar salto de calidad en el segundo semestre”: Cano,Colombiano,13/06/2019," 12:01 AM 
                 "
Novedades de los nuevos Hombres de Negro,Colombiano,13/06/2019," 12:01 AM 
                 "
El Nacional de Osorio sigue tomando forma ,Colombiano,13/06/2019," 12:01 AM 
                 "
La tecnología como aliada se plantea en la Escuela de Verano de la UPB,Colombiano,13/06/2019," 12:02 AM 
                 "
Shannon de Lima aclaró rumores sobre supuesta infidelidad de James,Colombiano,13/06/2019," 07:06 AM 
                 "
Área minera ahora será conservada,Colombiano,13/06/2019," 12:01 AM 
                 "
"Cobertura social para los venezolanos, ¿suficiente? ",Colombiano,13/06/2019," 12:01 AM 
                 "
Expresidentes de Reficar no aceptaron cargos en su contra,Colombiano,13/06/2019," 12:01 AM 
                 "
Gobierno sigue cruzada contra consumo en parques,Colombiano,13/06/2019," 12:01 AM 
                 "
¿Cómo frenar el dopaje en Colombia?,Colombiano,13/06/2019," 12:01 AM 
                 "
Serge Haroche: el Nobel de Física de la misión de sabios,Colombiano,13/06/2019," 12:01 AM 
                 "
Noveno capítulo Messi-Colombia,Colombiano,13/06/2019," 12:01 AM 
                 "
"Antioqueños, a la altura en las Olimpiadas Fides: 56 medallas",Colombiano,13/06/2019," 12:01 AM 
                 "
"Sara y Aleja, firmes en el Mundial de tiro con arco ",Colombiano,13/06/2019," 12:01 AM 
                 "
Caterine salta triple hoy en Liga Diamante,Colombiano,13/06/2019," 12:01 AM 
                 "
Balonmano nacional busca semifinal en el Mundial de Naciones,Colombiano,13/06/2019," 12:01 AM 
                 "
"Hip hop que suena a jazz, así es la música de Zetta Petta",Colombiano,13/06/2019," 12:01 AM 
                 "
"Junior, campeón de la Liga por novena ocasión",Colombiano," 12/06/2019 
               ",
"Fallece expresidente del Banco Industrial Colombiano, Javier Gómez Restrepo",Colombiano," 12/06/2019 
               ",
Wisin y Yandel estarán en los Billboard Latin Music Showcase 2019,Colombiano," 12/06/2019 
               ",
Detectan enorme anomalía en el lado oscuro de la Luna,Colombiano," 12/06/2019 
               ",
Ecuador dijo “sí” al matrimonio igualitario,Colombiano," 12/06/2019 
               ",
El Teatro Municipal de Jardín reabre sus puertas después de 21 años,Colombiano," 12/06/2019 
               ",
Brasil abre la puerta a la nueva generación,Colombiano," 12/06/2019 
               ",
Este proyecto de ley busca decirle “no” a las mutilaciones a animales,Colombiano," 12/06/2019 
               ",
