Titular,Medio,Fecha,Hora
"Es el desempleo, ¡estúpido!",Dinero,13/06/2019,
¿Podrá la unión de Oracle y Microsoft tumbar a Amazon Web Services?,Dinero,13/06/2019,
Así Carrasquilla va a sobrecumplir la regla fiscal,Dinero,13/06/2019,
¿Crítica infundada? La camiseta de la Selección Colombia sí gustó,Dinero,13/06/2019,
La innovación como core de negocio,Dinero,13/06/2019,
Venezuela emite nuevos billetes ante incontrolable inflación,Dinero,13/06/2019,
Las superintendencias ganaron la pelea por visitas administrativas,Dinero,13/06/2019,
Alquería estrena socio,Dinero,13/06/2019,
"La otra cara de Rappi, la startup colombiana más exitosa de Latinoamérica",Dinero,13/06/2019,
"Duque y ""la espada del augurio"" para ver el futuro de la economía",Dinero,13/06/2019,
Amazon supera a Google como la marca más valiosa del mundo,Dinero,13/06/2019,
Moody's alerta sobre la deuda colombiana,Dinero,13/06/2019,
Peso colombiano es la moneda más revaluada de junio,Dinero,13/06/2019,
"Así, el gurú Don Peppers convierte a los clientes en ""amigos""",Dinero,13/06/2019,
La recuperación de la economía se ve: la respuesta de Duque a sus críticos,Dinero,13/06/2019,
 Se buscan las empresas más innovadoras de Colombia,Dinero,13/06/2019,
Anko Van Der Werff sería el nuevo CEO de Avianca,Dinero,13/06/2019,
De colaboradores a concursantes: el juego como estrategia de aprendizaje ,Dinero,13/06/2019,
Todos contra Claro: demás operadores piden que lo declaren “dominante”,Dinero,13/06/2019,
"Mars, Philip Morris y otras multinacionales que siguen cerrando plantas en Colombia",Dinero,13/06/2019,
Se hundió proyecto de ‘borrón y cuenta nueva’,Dinero,13/06/2019,
Lionel Messi se ubica como el deportista mejor pagado del mundo,Dinero,13/06/2019,
SIC investiga a Postobón por publicidad engañosa con jugos Hit,Dinero,13/06/2019,
Simetrik: la ‘startup’ que nunca ha tenido pérdidas,Dinero,13/06/2019,
Política monetaria y burbujas de precios de activos,Dinero,13/06/2019,
Taxistas arremeten contra centro de atención de Uber en Bogotá,Dinero,13/06/2019,
Inclusión financiera llega a 28 millones de adultos,Dinero,13/06/2019,
"Fintech colombiana Addi, que presta en punto de venta, levanta US$12.5 millones ",Dinero,13/06/2019,
